schedule_no,route_no,ticket_from_stop_id,ticket_from_stop_seq_no,ticket_till_stop_id,ticket_till_stop_seq_no,ticket_date,ticket_time,total_ticket_amount,travelled_KM
KIAS-12/5,KIAS-12UP,9387,1,11359,39,01/09/2018,02:02:58,281,49.3
KIAS-12/5,KIAS-12UP,9387,1,11359,39,01/09/2018,02:04:08,562,49.3
KIAS-12/5,KIAS-12UP,9387,1,11359,39,01/09/2018,02:05:32,281,49.3
KIAS-12/5,KIAS-12UP,57,14,11359,39,01/09/2018,02:25:52,234,38.4
KIAS-12/5,KIAS-12UP,4973,26,11359,39,01/09/2018,02:41:31,171,26.2
KIAS-12/5,KIAS-12UP,213,27,11359,39,01/09/2018,02:43:09,160,24.9
KIAS-12/5,KIAS-12UP,0,38,0,0,01/09/2018,03:07:58,0,0
KIAS-12/5,KIAS-12DN,0,1,0,0,01/09/2018,03:07:58,0,0
KIAS-12/5,KIAS-12DN,0,1,0,0,01/09/2018,03:08:03,0,0
KIAS-12/5,KIAS-12DN,11359,1,349,27,01/09/2018,03:24:53,244,42.6
KIAS-12/5,KIAS-12DN,11359,1,9387,33,01/09/2018,03:25:35,281,49.5
KIAS-12/5,KIAS-12DN,11359,1,117,29,01/09/2018,03:25:43,281,46.5
KIAS-12/5,KIAS-12DN,11359,1,9387,33,01/09/2018,03:26:06,281,49.5
KIAS-12/5,KIAS-12DN,11359,1,214,14,01/09/2018,03:27:16,171,27
KIAS-12/5,KIAS-12DN,11359,1,349,27,01/09/2018,03:27:25,244,42.6
KIAS-12/5,KIAS-12DN,11359,1,349,27,01/09/2018,03:28:42,244,42.6
KIAS-12/5,KIAS-12DN,11359,1,17,28,01/09/2018,03:28:53,281,44.6
KIAS-12/5,KIAS-12DN,11359,1,9387,33,01/09/2018,03:29:01,281,49.5
KIAS-12/5,KIAS-12DN,11359,1,1889,26,01/09/2018,03:29:25,244,40.9
KIAS-12/5,KIAS-12DN,11359,1,65,25,01/09/2018,03:29:45,234,38.4
KIAS-12/5,KIAS-12DN,11359,1,214,14,01/09/2018,03:33:16,171,27
KIAS-12/5,KIAS-12DN,11359,1,349,27,01/09/2018,03:33:49,244,42.6
KIAS-12/5,KIAS-12DN,11359,1,218,15,01/09/2018,03:34:43,394,29.2
KIAS-12/5,KIAS-12DN,11359,1,65,25,01/09/2018,03:35:18,234,38.4
KIAS-12/5,KIAS-12DN,11359,1,158,19,01/09/2018,03:35:53,234,36.1
KIAS-12/5,KIAS-12DN,0,33,0,0,01/09/2018,04:39:16,0,0
KIAS-12/5,KIAS-12UP,0,1,0,0,01/09/2018,04:39:16,0,0
KIAS-12/5,KIAS-12UP,9387,1,11359,39,01/09/2018,06:24:36,281,49.3
KIAS-12/5,KIAS-12UP,9387,1,11359,39,01/09/2018,06:24:50,281,49.3
KIAS-12/5,KIAS-12UP,9387,1,11359,39,01/09/2018,06:25:05,281,49.3
KIAS-12/5,KIAS-12UP,2937,10,14574,23,01/09/2018,06:38:22,58,10
KIAS-12/5,KIAS-12UP,57,14,11359,39,01/09/2018,06:55:39,234,38.4
KIAS-12/5,KIAS-12UP,57,14,11359,39,01/09/2018,06:56:28,234,38.4
KIAS-12/5,KIAS-12UP,57,14,11359,39,01/09/2018,06:56:53,234,38.4
KIAS-12/5,KIAS-12UP,4973,26,11359,39,01/09/2018,07:17:40,171,26.2
KIAS-12/5,KIAS-12UP,213,27,11359,39,01/09/2018,07:20:07,160,24.9
KIAS-12/5,KIAS-12UP,213,27,11359,39,01/09/2018,07:20:29,160,24.9
KIAS-12/5,KIAS-12UP,0,39,0,0,01/09/2018,07:46:54,0,0
KIAS-12/5,KIAS-12DN,0,1,0,0,01/09/2018,07:46:54,0,0
KIAS-12/5,KIAS-12DN,0,1,0,0,01/09/2018,07:46:58,0,0
KIAS-12/5,KIAS-12DN,11359,1,158,19,01/09/2018,08:41:07,234,36.1
KIAS-12/5,KIAS-12DN,11359,1,1642,3,01/09/2018,08:42:08,118,8.5
KIAS-12/5,KIAS-12DN,11359,1,9387,33,01/09/2018,08:42:39,562,49.5
KIAS-12/5,KIAS-12DN,11359,1,65,25,01/09/2018,08:43:11,467,38.4
KIAS-12/5,KIAS-12DN,11359,1,349,27,01/09/2018,08:43:47,244,42.6
KIAS-12/5,KIAS-12DN,11359,1,65,25,01/09/2018,08:43:58,234,38.4
KIAS-12/5,KIAS-12DN,11359,1,9387,33,01/09/2018,08:45:02,281,49.5
KIAS-12/5,KIAS-12DN,11359,1,349,27,01/09/2018,08:45:48,244,42.6
KIAS-12/5,KIAS-12DN,11359,1,1642,3,01/09/2018,08:52:17,118,8.5
